date time time-taken ipAddress username status
2014-10-31 15:51:30 10 10.111.7.149 n10275 authentication_failed
2014-10-31 15:51:31 1 10.166.116.73 d690514 authentication_failed
2014-10-31 15:51:35 240430 10.164.1.69 d644804 authentication_passed
2014-10-31 15:51:36 3149 10.233.149.141 n102035 OBSERVED
2014-10-31 15:51:39 20191 138.217.215.29 c975951 authentication_passed
2014-10-31 15:51:40 205 147.10.200.97 d644804 authentication_passed
2014-10-31 15:51:45 1 147.10.200.97 n10275 authentication_passed
2014-10-31 15:51:45 39 172.115.13.48 n100360 authentication_passed
2014-10-31 15:51:47 767 139.168.51.129 d737465 authentication_passed
2014-10-31 15:51:55 146611 144.133.115.69 d705350 authentication_failed
2014-10-31 15:51:55 20 147.10.200.97 d644804 authentication_failed
2014-10-31 15:51:55 11 10.111.7.149 d268424 authentication_passed
2014-10-31 15:51:58 35 172.117.4.73 d701295 authentication_passed
2014-10-31 15:51:59 205 147.10.200.97 d644804 authentication_passed
2014-10-31 15:51:59 1 147.10.200.97 d644804 authentication_passed
2014-10-31 15:51:59 1 10.166.116.14 n103400 authentication_failed
